Segment,Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,Selected_Hyperparameters
high_grown,XGBoost,232.7533306526512,32.616074110712866,162.5668242698492,28.39891477991677,19.818217858080423,3.9573625333172346,0.2402281554904484,0.05785845640426561,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 200, ""model__subsample"": 0.8}"
high_grown,LightGBM,227.73708502437142,33.30487055450069,161.46173429182573,25.964797118482334,19.60365384360158,3.7562253556330174,0.273653190177369,0.045865240164101345,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 200, ""model__num_leaves"": 31, ""model__subsample"": 0.8}"
high_grown,Gradient Boosting,232.3842977696526,35.03627735112394,161.44058252679076,27.618624823854542,19.987295490721152,4.477665881832007,0.2447280204513874,0.04869386122396281,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 100}"
high_grown,Random Forest,225.0651428890792,29.155481836085933,155.64054703188384,23.32797978134206,18.993533309240892,3.499949837447345,0.2867372804974778,0.07348155311931627,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
low_grown,XGBoost,408.8128178960245,156.80007743766728,200.70558580671036,62.50539124429719,12.077466777758985,6.3348832495572704,0.6593934385582205,0.28422410268427656,"{""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 400, ""model__subsample"": 0.8}"
low_grown,LightGBM,331.82062644542975,140.23692660945366,179.39387753965374,60.7301365453481,10.731559361625639,3.11421579325203,0.7718138173943236,0.18643160821206256,"{""model__learning_rate"": 0.1, ""model__n_estimators"": 400, ""model__num_leaves"": 31, ""model__subsample"": 0.8}"
low_grown,Gradient Boosting,263.3409889850749,54.34159110866571,140.1032746202882,19.07820835027218,8.174205850937382,0.8848127366934392,0.8760380578378765,0.0502787928727105,"{""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__n_estimators"": 400}"
low_grown,Random Forest,283.19215850968993,80.79303553121967,154.10960046363812,32.43716597561449,8.928052301143003,1.6093336835922705,0.849648886581377,0.08967563040369417,"{""model__max_depth"": 16, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 400}"
off_grade,XGBoost,147.054874764079,26.348546027166957,107.34831719455948,13.956446804565235,15.494643203740129,3.4640060859982613,0.2623325723710554,0.2498498636028854,"{""model__learning_rate"": 0.1, ""model__max_depth"": 7, ""model__n_estimators"": 400, ""model__subsample"": 0.8}"
off_grade,LightGBM,150.4188816961835,18.353712845464536,114.7861288705669,15.334646208736755,16.099730007420924,3.2623452128484725,0.23293705930196545,0.1790497492330034,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 200, ""model__num_leaves"": 31, ""model__subsample"": 0.8}"
off_grade,Gradient Boosting,156.53361199856874,34.594281181070556,112.77406738349548,20.32092674666159,16.340694792549947,4.3310996157436055,0.15559655661343283,0.34867112389672783,"{""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__n_estimators"": 100}"
off_grade,Random Forest,145.1117642884247,23.184374756370058,109.84557797953482,13.826034051359171,15.75217900141368,3.3067589818259724,0.28408750206207045,0.21383981736030813,"{""model__max_depth"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
dust,XGBoost,155.88683618656992,20.50529705190392,108.85949173850574,13.559829182448505,12.97869606240027,1.939647830726098,0.427293738763859,0.17866006408940263,"{""model__learning_rate"": 0.05, ""model__max_depth"": 7, ""model__n_estimators"": 400, ""model__subsample"": 0.8}"
dust,LightGBM,161.1378606303222,20.843242513816385,115.59190058918617,16.519670623900435,13.684777345310902,2.196195122890658,0.3913086319486485,0.17631904770704582,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 200, ""model__num_leaves"": 31, ""model__subsample"": 0.8}"
dust,Gradient Boosting,166.3600196956592,21.67908513771263,117.20989917750735,10.093045526275532,13.917719107284322,1.6818274199423329,0.35130609339892266,0.1854327251135075,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100}"
dust,Random Forest,158.30027940364613,15.142927118402504,109.58775163840085,10.946452092407846,12.883738236852341,1.4685033833025691,0.4130530962768648,0.15412548155901887,"{""model__max_depth"": 16, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
