Fold,Model,RMSE,MAE,MAPE,R2,n_train,n_test,Forecast_Horizon
1,XGBoost,686.0837341080946,439.93087538794356,37.64108283877435,-0.3575328543125602,1130,1129,t_plus_1_week
1,LightGBM,660.5014561905912,415.2243499718261,34.76363023418486,-0.2581825619863083,1130,1129,t_plus_1_week
1,Gradient Boosting,695.0127147171154,420.9441051746542,36.73745142763405,-0.39309778701460507,1130,1129,t_plus_1_week
1,Random Forest,661.5810731356481,427.33015943312665,35.90200002768603,-0.2622990263636076,1130,1129,t_plus_1_week
2,XGBoost,495.34344751201695,297.68428865336443,25.78673216364049,0.2996688820859905,2259,1129,t_plus_1_week
2,LightGBM,450.422761732409,279.6268949166363,24.37289282890917,0.42092977169193624,2259,1129,t_plus_1_week
2,Gradient Boosting,467.5942184728853,290.23017970048346,25.345659330416225,0.37593641098528907,2259,1129,t_plus_1_week
2,Random Forest,451.0513779012858,273.81501351083057,23.600281575076277,0.4193123271483866,2259,1129,t_plus_1_week
3,XGBoost,411.33663188281616,243.48250210190156,19.842087954979043,0.610293384714883,3388,1129,t_plus_1_week
3,LightGBM,413.9801843903076,246.42051778925912,20.42985085450405,0.6052682045381086,3388,1129,t_plus_1_week
3,Gradient Boosting,436.99522195356224,270.0588643418672,21.913470064125075,0.5601583216398958,3388,1129,t_plus_1_week
3,Random Forest,402.18276896559246,245.97420337650408,20.185151696235035,0.6274454065787729,3388,1129,t_plus_1_week
4,XGBoost,445.1815187997851,257.7029597347452,21.0183067551954,0.5570031678225955,4517,1129,t_plus_1_week
4,LightGBM,448.13528927245983,262.69855556449323,21.50356019694741,0.5511051155496947,4517,1129,t_plus_1_week
4,Gradient Boosting,498.90374931318996,283.6733605816593,23.02721326545284,0.4436348705503599,4517,1129,t_plus_1_week
4,Random Forest,438.964361175039,257.9686082103033,21.203305893062215,0.5692900635541498,4517,1129,t_plus_1_week
5,XGBoost,502.54010115726413,326.91142793288793,27.354660217526394,0.34645714168197383,5646,1129,t_plus_1_week
5,LightGBM,509.4754475900641,333.19288146212125,27.964244764240657,0.328294125395702,5646,1129,t_plus_1_week
5,Gradient Boosting,527.3795428715335,338.8482465967776,27.997290318269073,0.2802541219114435,5646,1129,t_plus_1_week
5,Random Forest,459.49738299223077,295.3456419913207,24.76357143193458,0.4536150704973887,5646,1129,t_plus_1_week
